B0 f (kHz),B0 Phase velocity (m/ms),B0 Energy velocity (m/ms),B0 Propagation time (micsec),B0 Coincidence angle (deg),B0 Wavelength (mm),B0 Wavenumber (rad/mm),B0 Attenuation (Np/m),B1 f (kHz),B1 Phase velocity (m/ms),B1 Energy velocity (m/ms),B1 Propagation time (micsec),B1 Coincidence angle (deg),B1 Wavelength (mm),B1 Wavenumber (rad/mm),B1 Attenuation (Np/m),B2 f (kHz),B2 Phase velocity (m/ms),B2 Energy velocity (m/ms),B2 Propagation time (micsec),B2 Coincidence angle (deg),B2 Wavelength (mm),B2 Wavenumber (rad/mm),B2 Attenuation (Np/m),B3 f (kHz),B3 Phase velocity (m/ms),B3 Energy velocity (m/ms),B3 Propagation time (micsec),B3 Coincidence angle (deg),B3 Wavelength (mm),B3 Wavenumber (rad/mm),B3 Attenuation (Np/m),B4 f (kHz),B4 Phase velocity (m/ms),B4 Energy velocity (m/ms),B4 Propagation time (micsec),B4 Coincidence angle (deg),B4 Wavelength (mm),B4 Wavenumber (rad/mm),B4 Attenuation (Np/m),B5 f (kHz),B5 Phase velocity (m/ms),B5 Energy velocity (m/ms),B5 Propagation time (micsec),B5 Coincidence angle (deg),B5 Wavelength (mm),B5 Wavenumber (rad/mm),B5 Attenuation (Np/m),B6 f (kHz),B6 Phase velocity (m/ms),B6 Energy velocity (m/ms),B6 Propagation time (micsec),B6 Coincidence angle (deg),B6 Wavelength (mm),B6 Wavenumber (rad/mm),B6 Attenuation (Np/m),B7 f (kHz),B7 Phase velocity (m/ms),B7 Energy velocity (m/ms),B7 Propagation time (micsec),B7 Coincidence angle (deg),B7 Wavelength (mm),B7 Wavenumber (rad/mm),B7 Attenuation (Np/m),B8 f (kHz),B8 Phase velocity (m/ms),B8 Energy velocity (m/ms),B8 Propagation time (micsec),B8 Coincidence angle (deg),B8 Wavelength (mm),B8 Wavenumber (rad/mm),B8 Attenuation (Np/m),B9 f (kHz),B9 Phase velocity (m/ms),B9 Energy velocity (m/ms),B9 Propagation time (micsec),B9 Coincidence angle (deg),B9 Wavelength (mm),B9 Wavenumber (rad/mm),B9 Attenuation (Np/m),B10 f (kHz),B10 Phase velocity (m/ms),B10 Energy velocity (m/ms),B10 Propagation time (micsec),B10 Coincidence angle (deg),B10 Wavelength (mm),B10 Wavenumber (rad/mm),B10 Attenuation (Np/m)
0.001,0.000100000476837158,0.263842674804936,379.013743981833,90,100.000476837158,0.0628315534676019,0,0.001,4.52478364467621,4.52478446577044,22.1005002020517,4.34746154136446,4524783.64467621,1.38861563349494e-06,0,34.6636067708332,20.0617176555043,0.921776347124949,108.486185734645,0.979647420502524,578.754478382344,0.0108563916857136,0,66.9136189778659,20.0174705955177,-0.106666377485687,-937.502541636599,0.981813066582558,299.153907699107,0.0210031864718254,0,84.2456502278652,20.0685898481029,0.832464166927032,120.125290640606,0.979311922014839,238.215145753186,0.0263760949679059,0,135.833504231771,20.0008464823015,0.497001958938628,201.206450400225,0.982629200606459,147.245310318832,0.0426715478650866,0,163.897806803386,20.0820983365892,0.228072718934974,438.456648681911,0.978653110833287,122.528170011939,0.0512795164293025,0,189.575146484375,20.0180538381891,0.570995041265677,175.132869417462,0.981784457840984,105.594294449558,0.0595030758047355,0,248.80429280599,20.0469802888872,0.588972215089864,169.78729630691,0.980367670215879,80.5732894026842,0.0779809953616002,0,265.342724609375,20.0950356496934,0.0979853332464965,1020.56090117523,0.978022986448803,75.7323784900317,0.0829656407530711,0,286.774979654948,20.0266894489575,0.666447253123945,150.049384300489,0.981361065955789,69.8341587297954,0.0899729505082275,0
0.75,0.286608874416351,0.547839679095754,182.535153651259,90,382.145165888468,0.0164418809081923,0,0.75,4.52468603372574,4.52449079480638,22.101934678437,4.34755550946727,6032.91471163432,0.00104148419255167,0,34.6719909667968,19.9617176555043,0.926442255868202,107.939808840311,0.984555533281482,575.730354643331,0.0109134167696822,0,66.9119222005221,19.9174705955177,-0.106886323996725,-935.573385450733,0.986742959148721,297.666991778071,0.0211081022778102,0,84.2639160156256,19.9685898481029,0.836313352020362,119.572406393394,0.984216665039055,236.976760543623,0.0265139302806149,0,135.850964355469,19.9008464823015,0.499381953259216,200.247524659932,0.987567313562944,146.490284973089,0.0428914812223476,0,163.907210286459,19.9820983365892,0.229461529183132,435.802900625622,0.98355124012698,121.911039188982,0.0515391005521627,0,189.603169759114,19.9180538381891,0.573823331815344,174.269665340447,0.986714062374663,105.05127031101,0.0598106552027202,0,248.842252604167,19.9469802888872,0.591875704824436,168.9543922565,0.985283021128846,80.159137285326,0.07838389383876,0,265.349263509114,19.9950356496934,0.0988090691720465,1012.05284937843,0.982914794191829,75.3536504502363,0.0833826267159946,0,286.824576822917,19.9266894489575,0.66951715101557,149.361371621792,0.986286408773606,69.4734379796892,0.0904401090531392,0
1.5,0.396277757608609,0.726968104757106,137.557616827511,59.9460833885702,264.185171739072,0.023783262572304,0,1.5,4.52439306735992,4.52361171136803,22.1062297961374,4.34783756672477,3016.26204490662,0.00208310326279165,0,34.6805460611978,19.8617176555043,0.931168720846307,107.391923462714,0.989513076238678,572.70487092262,0.0109710701378486,0,66.91004638672,19.8174705955177,-0.107167845443028,-933.115708229494,0.991722612126827,296.180792955645,0.0212140201411391,0,84.2825398763026,19.8685898481029,0.840200596465462,119.019196630754,0.989170787213976,235.737910571549,0.0266532662987719,0,135.868693033854,19.8008464823015,0.501781801116446,199.289810386713,0.992555311764049,145.735165623237,0.0431137212512128,0,163.916882324219,19.8820983365892,0.230831087915562,433.21721048501,0.98849864847244,121.293780449432,0.0518013807789518,0,189.631640625,19.8180538381891,0.576685093670415,173.404863586004,0.991693422948205,104.508159993087,0.06012148053889,0,248.880749511719,19.8469802888872,0.594808386966508,168.121368479679,0.990247911885532,79.7449394050168,0.0787910224029126,0,265.355891927083,19.8950356496934,0.0996582400440385,1003.42931960077,0.98785578537363,74.9749157827646,0.0838038328096926,0,286.874979654948,19.8266894489575,0.67261337474562,148.67382028765,0.991261442957271,69.1126478607683,0.090912235338421,0
2.25,0.474718108473787,0.838564911886205,119.251352617494,46.264094994102,210.98582598835,0.0297801299103691,0,2.25,4.52390437841415,4.52214483915482,22.1134005116673,4.34830814002227,2010.62416818407,0.0031249924310093,0,34.6891866048176,19.7617176555043,0.935936203790752,106.844889208236,0.994520799916689,569.679476219249,0.0110293341597608,0,66.9082600911471,19.7174705955177,-0.107423501599065,-930.894995149461,0.996752782769872,294.694116520997,0.0213210408859041,0,84.301342773438,19.7685898481029,0.844121031096637,118.466424026997,0.994175038046633,234.499109951682,0.0267940688920918,0,135.886690266927,19.7008464823015,0.504216126646855,198.327651011524,0.997593955003321,144.979956783129,0.0433383030771516,0,163.926643880209,19.7820983365892,0.232272187851774,430.529375578171,0.993496083346361,120.676528649273,0.0520663411311794,0,189.660469563802,19.7180538381891,0.579575915297168,172.539950954875,0.996723296725666,103.965016450389,0.0604355726734087,0,248.919873046875,19.7469802888872,0.597768489209265,167.288844770458,0.995263095255262,79.3306699347728,0.0792024738016929,0,265.362609863281,19.7950356496934,0.100504020339096,994.985072861804,0.992846705532848,74.5961748714039,0.0842293229915763,0,286.926098632812,19.7266894489575,0.675741666653296,147.985546747863,0.996286924355501,68.7518128987015,0.0913893763999678,0
3,0.536416127691376,0.915255901187757,109.259060630177,39.7492507288375,178.805375897125,0.0351398008905201,0,3,4.52321933746338,4.52008758493441,22.1234651145485,4.34896795824297,1507.73977915446,0.00416728761424813,0,34.6979980468749,19.6617176555043,0.94075481482258,106.297622318159,0.999579470131041,566.652797344172,0.0110882454593502,0,66.906384277345,19.6174705955177,-0.107678643311685,-928.689263947555,1.00183424377513,293.207753003032,0.0214291240351841,0,84.3205932617192,19.6685898481029,0.848068528376691,117.914999382671,0.999230182290606,233.259623625445,0.0269364462204087,0,135.904956054687,19.6008464823015,0.506650531940138,197.374706421536,1.00268401858355,144.224662965302,0.0435652625424488,0,163.936584472657,19.6820983365892,0.233685614762019,427.925356474501,0.998544307420238,120.059219239571,0.052334051037279,0,189.689835611979,19.6180538381891,0.58249620675681,171.674937690624,1.0018044563131,103.421745160446,0.0607530389032981,0,248.959623209635,19.6469802888872,0.600758692194464,166.456184986218,1.00032933933713,78.9163320364745,0.0796183140427199,0,265.369506835937,19.6950356496934,0.10137502794567,986.436226223223,0.997888315353573,74.2174030638334,0.0846591910764583,0,286.97802327474,19.6266894489575,0.678896555432777,147.29784559925,1.0013636242254,68.39091448535,0.0918716375480768,0
3.75,0.587178098700535,0.970580394008913,103.031135408533,35.7429537000454,156.580826320143,0.0401274246332887,0,3.75,4.5223371026415,4.51743633199276,22.136449227141,4.3498180051384,1205.9565607044,0.00521012573082198,0,34.7068949381509,19.5617176555043,0.945621063388155,105.750605471605,1.00468986836071,563.626267644053,0.0111477865171955,0,66.9045084635429,19.5174705955177,-0.107933277649807,-926.498316158367,1.00696778367991,291.721306138181,0.0215383147372973,0,84.3400227864587,19.5685898481029,0.852074510717986,117.360628374785,1.00433700033571,232.020210590276,0.0270803361965525,0,135.923490397135,19.5008464823015,0.509111041419328,196.420803841171,1.00782629371453,143.469288680895,0.0437946362245836,0,163.946614583334,19.5820983365892,0.235091614713828,425.366085990467,1.00364409894847,119.4419194709,0.0526045238975785,0,189.719738769531,19.5180538381891,0.585442812124341,170.810876705685,1.00693769015428,102.878350796695,0.0610739310897027,0,249,19.5469802888872,0.603778682988104,165.623601524153,1.00544742795222,78.5019288710328,0.0800386104843607,0,265.376493326823,19.5950356496934,0.102242635942463,978.06555042531,1.00298139105192,73.8386260367127,0.0850934753858445,0,287.030753580729,19.5266894489575,0.682081615366125,146.610021069579,1.00649232962715,68.0299556941569,0.0923590974456455,0
4.5,0.630084195329855,1.01179544359501,98.8342066897337,32.9817377669092,140.018710073301,0.0448738979518543,0,4.5,4.52125648075649,4.51418645272083,22.1523858279551,4.35085965436984,1004.72366239033,0.00625364519855271,0,34.7160481770832,19.4617176555043,0.950540479865301,105.203304980942,1.00985279215065,560.597149659199,0.0112080222152383,0,66.9026326497408,19.4174705955177,-0.108180303218783,-924.382692824963,1.01215420726961,290.234775919433,0.0216486301039395,0,84.359810384115,19.4685898481029,0.856109126635956,116.807538768972,1.00949628860967,230.7803889015,0.0272258199108128,0,135.942293294271,19.4008464823015,0.511608849035166,195.461826331949,1.01302158792317,142.713838439558,0.0440264614551773,0,163.956913248698,19.4820983365892,0.236584847401035,422.681338634042,1.00879625216839,118.82450059936,0.0528778599992991,0,189.75,19.4180538381891,0.588423888323611,169.945513743323,1.01212380293861,102.334934588612,0.0613982442304585,0,249.75,17.9342356055098,0.656983584414929,152.210804610977,1.09587333904652,71.8087511732125,0.0874988800741526,0,265.383658854166,19.4950356496934,0.103150507500847,969.45717886244,1.00812672477451,73.4598193945557,0.0855322727303799,0,287.084289550781,19.4266894489575,0.685296284521119,145.922285380373,1.01167384383081,67.6689395973414,0.0928518363752584,0
5.25,0.667025953306472,1.04330933494227,95.8488500493798,30.9455246645029,127.052562534566,0.0494534323577313,0,5.25,4.5199761937957,4.51033232612278,22.171315275556,4.3520944142293,860.947846437277,0.00729798597345971,0,34.7252868652343,19.3617176555043,0.955508843261438,104.656278908597,1.01506905552685,557.568256545882,0.0112689078573155,0,66.9006673177096,19.3174705955177,-0.108447255369153,-922.107246141008,1.01739433599832,288.748548706989,0.0217600584845035,0,84.3798665364587,19.3685898481029,0.860180302412949,116.254696508957,1.01470885999232,229.540418148613,0.0273728930088104,0,135.961454264323,19.3008464823015,0.51412680529992,194.5045443442,1.01827072547631,141.958223282745,0.0442608054812369,0,163.967301432292,19.3820983365892,0.238077283060346,420.031675070204,1.01400157771275,118.20709475171,0.0531540456211803,0,190.5,17.3568291308223,0.657307142034865,152.135879264029,1.13233422848325,91.1119639413242,0.068961144457669,0,250.5,16.6726646822483,0.705506199928582,141.742198736344,1.17880610379367,66.5575436417099,0.0944023015783605,0,265.391003417968,19.3950356496934,0.104041498547335,961.154937176374,1.01332512500927,73.0809839064058,0.0859756529171311,0,287.138631184896,19.3266894489575,0.688542140183538,145.234393313014,1.0169089867359,67.307869265813,0.09334993628109,0
6,0.699275294268146,1.06800169117852,93.6328105338967,29.3739645586449,116.545882378024,0.0539116885039289,0,6,4.51849466055613,4.50586737781113,22.1932852467971,4.35352413991447,753.082443426022,0.0083432901165446,0,34.734611002604,19.2617176555043,0.960536054564663,104.108533484797,1.02033948942421,554.539610478442,0.011330453566263,0,66.8987019856783,19.2174705955177,-0.108696584844516,-919.992105943756,1.02268900842274,287.262234170579,0.0218726465221619,0,84.4002807617191,19.2685898481029,0.864281640675459,115.703024678214,1.0199755442426,228.300068130134,0.0275216094267572,0,135.980883789063,19.2008464823015,0.516648778325759,193.555088476272,1.02357454781679,141.202542205024,0.044497678363726,0,163.977958170573,19.2820983365892,0.239570128104068,417.41431117222,1.01926090303494,117.589574548376,0.0534331834374882,0,191.25,15.8512560626763,0.71865086298792,139.14962765679,1.23990088034254,82.8823846414449,0.0758084523552392,0,251.25,15.6513467657782,0.750254049904522,133.288184199374,1.25574023024281,62.2939174757342,0.100863544336044,0,265.3984375,19.2950356496934,0.10498153598685,952.548455878245,1.01857741700906,72.7021448635825,0.0864236580498318,0,287.193868001302,19.2266894489575,0.691818509931731,144.546580590722,1.02219859530392,66.9467269018094,0.093853510066222,0
6.75,0.727741348188429,1.08784181063995,91.9251301263849,28.1200993601641,107.813533064953,0.0582782618151867,0,6.75,4.51680988444866,4.50078407155451,22.2183509384535,4.35515114433473,669.157019918321,0.00938970244673893,0,34.7441914876301,19.1617176555043,0.965608834899536,103.561604229112,1.025664942128,551.508520850928,0.0113927257143465,0,66.8967366536471,19.1174705955177,-0.10894510009483,-917.893507032042,1.02803908064956,285.775832302508,0.0219864124147787,0,84.4210530598961,19.1685898481029,0.868433510078867,115.149863333715,1.025297188439,227.059354904077,0.027671994883602,0,136.00058186849,19.1008464823015,0.519224867749478,192.594781589408,1.02893391401317,140.446799711282,0.0447371198211423,0,163.988704427084,19.1820983365892,0.241087332071564,414.787451255698,1.02457507284762,116.972070750875,0.053715260975087,0,192,14.6904493860592,0.774265594688745,129.154647560183,1.33789225177579,76.5127572190585,0.0821194469464827,0,252,14.8028918698589,0.791863227455545,126.284434650824,1.32772782133637,58.7416344042018,0.106963065820486,0,265.40596110026,19.1950356496934,0.105917266081334,944.133130505938,1.02388444322846,72.3233026497181,0.0868763604119519,0,287.25,19.1266894489575,0.695126483404434,143.858711166121,1.02754352400455,66.5855159232636,0.0943626435878432,0
