BSH0 f (kHz),BSH0 Phase velocity (m/ms),BSH0 Energy velocity (m/ms),BSH0 Propagation time (micsec),BSH0 Coincidence angle (deg),BSH0 Wavelength (mm),BSH0 Wavenumber (rad/mm),BSH0 Attenuation (Np/m),BSH1 f (kHz),BSH1 Phase velocity (m/ms),BSH1 Energy velocity (m/ms),BSH1 Propagation time (micsec),BSH1 Coincidence angle (deg),BSH1 Wavelength (mm),BSH1 Wavenumber (rad/mm),BSH1 Attenuation (Np/m),BSH2 f (kHz),BSH2 Phase velocity (m/ms),BSH2 Energy velocity (m/ms),BSH2 Propagation time (micsec),BSH2 Coincidence angle (deg),BSH2 Wavelength (mm),BSH2 Wavenumber (rad/mm),BSH2 Attenuation (Np/m),BSH3 f (kHz),BSH3 Phase velocity (m/ms),BSH3 Energy velocity (m/ms),BSH3 Propagation time (micsec),BSH3 Coincidence angle (deg),BSH3 Wavelength (mm),BSH3 Wavenumber (rad/mm),BSH3 Attenuation (Np/m),BSH4 f (kHz),BSH4 Phase velocity (m/ms),BSH4 Energy velocity (m/ms),BSH4 Propagation time (micsec),BSH4 Coincidence angle (deg),BSH4 Wavelength (mm),BSH4 Wavenumber (rad/mm),BSH4 Attenuation (Np/m),BSH5 f (kHz),BSH5 Phase velocity (m/ms),BSH5 Energy velocity (m/ms),BSH5 Propagation time (micsec),BSH5 Coincidence angle (deg),BSH5 Wavelength (mm),BSH5 Wavenumber (rad/mm),BSH5 Attenuation (Np/m),BSH6 f (kHz),BSH6 Phase velocity (m/ms),BSH6 Energy velocity (m/ms),BSH6 Propagation time (micsec),BSH6 Coincidence angle (deg),BSH6 Wavelength (mm),BSH6 Wavenumber (rad/mm),BSH6 Attenuation (Np/m)
0.001,2.49765926450491,2.49765926404983,40.0374868739521,7.89329202445779,2497659.26450491,2.51562949216976e-06,0,33.6919840494791,20.0808650932152,0.247098779762009,404.696454172352,0.978713219541568,596.013136647727,0.0105420248662963,0,81.4218627929691,20.0285173602522,0.152803794162627,654.434011589865,0.981271492855625,245.984514149211,0.0255430116359613,0,131.906741333008,20.0121328186712,0.135303505973364,739.0791486193,0.982074968316058,151.714253694958,0.0414146011607635,0,182.269032287598,20.0367470014867,0.129634131314373,771.401782741092,0.980868418369558,109.929518744968,0.0571564888022144,0,228.997670491537,20.0125386264212,0.126971431663387,787.578738696977,0.982055052168832,87.3918873649012,0.0718966656589576,0,299.5394615829,20.0569611059768,0.125646397541845,795.884338559696,0.979879768551054,66.959328163264,0.0938358475141742,0
0.75,2.49750397709012,2.4971933655123,40.0449566225261,7.89378593490351,3330.00530278683,0.00188683942993163,0,33.6940755208333,19.9808650932153,0.248358284879686,402.644107678726,0.98361195207381,593.008259890108,0.0105954431534292,0,81.4250223795576,19.9285173602522,0.153580461493915,651.124492186542,0.986195934299097,244.746845353713,0.025672180975812,0,131.911260477702,19.9121328186712,0.135987291857736,735.362831584409,0.987007498099026,150.950970725028,0.0416240139232029,0,182.274997202556,19.9367470014867,0.13028657425482,767.538793401812,0.985788804699415,109.377299725489,0.0574450578223165,0,229.005020141602,19.9125386264212,0.127610123570193,783.636887123568,0.986987381381458,86.9524109738228,0.072260047039652,0,299.548972066741,19.9569611059768,0.12627652509868,791.912827200888,0.984790215721002,66.6233670183662,0.0943090328269883,0
1.5,2.49703766583978,2.49579389255806,40.0674111344607,7.8952694671177,1664.69177722652,0.00377438357847106,0,33.6962158203125,19.8808650932152,0.249630793137332,400.591604678298,0.988559972785018,590.002901193161,0.0106494142562234,0,81.4282185872399,19.8285173602522,0.154365109903389,647.814781867392,0.991170053433156,243.509163092012,0.025802664784345,0,131.915852864583,19.8121328186712,0.136678051785114,731.646366727707,0.991989828330567,150.187656664807,0.0418355638985872,0,182.281053670248,19.8367470014867,0.130945630911622,763.675727886578,0.990758807213083,108.825062188701,0.0577365652801983,0,229.012479654948,19.8125386264212,0.128255278471587,779.695005084361,0.991969507997341,86.5129212882747,0.0726271314575429,0,299.558627562722,19.8569611059768,0.126913008047107,787.941295685641,0.989750128428792,66.287395117068,0.0947870299637368,0
2.25,2.49625898500958,2.49345552322953,40.1049864609094,7.89774802577252,1109.44843778204,0.00566334143454262,0,33.6983561197916,19.7808650932152,0.250916575559575,398.538836172889,0.993558029336958,586.997924257723,0.010703931049032,0,81.4314636230472,19.7285173602522,0.155157873605619,644.504836758592,0.996194605828469,242.271432717667,0.0259344869376397,0,131.920512390137,19.7121328186712,0.137375887638762,727.929782429912,0.997022717078256,149.424319702271,0.042049281667796,0,182.287203216553,19.7367470014867,0.131611402370641,759.812586134311,0.995779180230957,108.2728060622,0.0580310563260922,0,229.020055135092,19.7125386264212,0.128906996782908,775.753081645443,0.997002190022086,86.0734166481331,0.0729979772136287,0,299.568431042135,19.7569611059768,0.127555943083292,783.96974364967,0.994760257934793,65.9514122941676,0.095269912934605,0
3,2.49516568842979,2.49016939282371,40.1579106578793,7.90123064942322,831.721896143264,0.00755443055703478,0,33.7005940755208,19.6808650932152,0.252215711344758,396.486005835331,0.998606884590913,583.991636738264,0.0107590330270356,0,81.4347574869795,19.6285173602522,0.15595887924934,641.194656446104,1.00127036245698,241.033656462851,0.0260676678908033,0,131.925245157877,19.6121328186712,0.138080912731725,724.213057559144,1.00210693787476,148.660954127475,0.0422652023462181,0,182.293448893229,19.6367470014867,0.132283992691144,755.949362924657,1.00085069344279,107.72053039047,0.0583285775181763,0,229.027746582032,19.6125386264212,0.12956537821586,771.811122516052,1.00208620092481,85.6338977225035,0.0733726418426058,0,299.578385547798,19.6569611059768,0.128205428874059,779.998170734517,0.999821370790632,65.6154183821801,0.0957577572786762,0
3.75,2.49375461818274,2.48592310655344,40.2265056937513,7.90573007748508,665.001231515397,0.00944838146068021,0,33.70283203125,19.5808650932152,0.253528546350038,394.432900908655,1.00370731699593,580.98574846943,0.0108146978195803,0,81.438112386068,19.5285173602522,0.156768266553218,637.884198113866,1.00639811008639,239.795800615745,0.0262022324454627,0,131.930051167806,19.5121328186712,0.138793238019447,720.496195830439,1.00724328011428,147.897561214867,0.0424833598036907,0,182.299790700277,19.5367470014867,0.132963506200089,752.086063746814,1.00597413230114,107.168236049198,0.0586291753864004,0,229.035553995769,19.5125386264212,0.13023052450982,767.869133418562,1.00722233003453,85.1943651804455,0.0737511840586114,0,299.588494205972,19.5569611059768,0.128861566111993,776.026576559613,1.00493424923026,65.2794132091436,0.0962506401068493,0
4.5,2.4920216984115,2.4807007604466,40.3111901259694,7.91126281395525,553.782599647001,0.0113459420920497,0,33.7051188151041,19.4808650932153,0.25485523410273,392.379620344351,1.008860120989,577.979422059933,0.0108709498424462,0,81.4415161132816,19.4285173602522,0.157586157269564,634.573503997192,1.01157865168675,238.557903726006,0.0263381980183565,0,131.93493347168,19.4121328186712,0.139512979114672,716.77918882232,1.01243254946117,147.134138835474,0.0427037895957339,0,182.306230163574,19.4367470014867,0.133650050295063,748.222688874615,1.01115029842701,106.615923021649,0.0589328979115413,0,229.043489583334,19.4125386264212,0.130902545004894,763.927087867246,1.01241138294873,84.7548151739027,0.0741336677366064,0,299.598760217429,19.4569611059768,0.129524457562233,772.054960754827,1.01009969157305,64.9433966010281,0.0967486401393444,0
5.25,2.48996191861643,2.47448297519491,40.4124825276372,7.91784923844176,474.278460688844,0.0132478824740509,0,33.7074055989583,19.3808650932152,0.256196065494477,390.326056752638,1.01406610740769,574.973503561906,0.0109277823556318,0,81.4449686686201,19.3285173602522,0.15841268626975,631.262573438827,1.01681280684974,237.319968025223,0.0264755863548397,0,131.939892069499,19.3121328186712,0.140240251669307,713.062040389121,1.01767556827138,146.370688316909,0.0429265270214197,0,182.312771860759,19.3367470014867,0.134343736458925,744.35922831858,1.01638001002806,106.063589534227,0.0592397950585294,0,229.051547241211,19.3125386264212,0.131581542960612,759.985008155241,1.01765418195475,84.3152506893278,0.0745201521173307,0,299.609186875324,19.3569611059768,0.130194208123564,768.083322916275,1.01531851263947,64.6073683782994,0.097251837753076,0
6,2.48756932292445,2.4672469495148,40.5310056294387,7.92551371285588,414.594887154075,0.0151549994991727,0,33.7097412109375,19.2808650932152,0.257551202979729,388.272307964606,1.01932610391554,571.967164404079,0.0109852203032073,0,81.4484822591149,19.2285173602522,0.159248001862606,627.951364101114,1.02210141222104,236.081960362133,0.0266144236414406,0,131.944930013021,19.2121328186712,0.140975176138875,709.344742378542,1.02297317602693,145.60720761893,0.0431516091128081,0,182.319417317709,19.2367470014867,0.135044676600457,740.495682742535,1.02166410232981,105.511235635231,0.0595499168344647,0,229.059726969402,19.2125386264212,0.132267626558742,756.042900305529,1.02295156646423,83.8756724310059,0.0749106996709682,0,299.619777553281,19.2569611059768,0.130870924876988,764.111662647719,1.02059154417962,64.2713283589978,0.0977603150207795,0
6.75,2.48483699278711,2.45896654002826,40.6674911480701,7.93428472491045,368.123998931423,0.0170681219518917,0,33.7121256510416,19.1808650932152,0.258920880338549,386.218368596794,1.02464095544087,568.960417736892,0.0110432731545223,0,81.4520446777346,19.1285173602522,0.160092234327794,624.639917232007,1.02744532194621,234.843918724622,0.0267547285929394,0,131.950047302246,19.1121328186712,0.141717873122098,705.627298780051,1.02832622978415,144.843698122311,0.0433790726737304,0,182.326166534424,19.1367470014867,0.135752984012589,736.632058052782,1.02700342802048,104.958862269907,0.0598633137907124,0,229.068040974935,19.1125386264212,0.132960911830787,752.100738653665,1.02830439346125,83.4360766568587,0.0753053781881424,0,299.630535714329,19.1569611059768,0.131554717145901,760.139979542463,1.02591963531524,63.9352763572844,0.098274155758204,0
