A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
0.001,0.0044101145362854,0.283934205751598,352.194268863421,90,4410.1145362854,0.00142472157026376,0,807.024075865746,21.0467121089372,1.56668182986604,63.8291694546239,0.933795374169607,26.0794104393466,0.240925128341858,0,2334.22711429595,21.0375628609414,0.176562400179567,566.372001616984,0.934201518290262,9.01264608404941,0.697152118099875,0,3214.50860002041,21.0620504819882,1.61745247853976,61.825618574142,0.933115280429153,6.55218358471789,0.958945247174436,0,3948.98548574448,21.0209887558391,0.788197910531217,126.87168877751,0.934938159568116,5.32313649460682,1.18035397242687,0
5.4,0.322810229072571,0.640520249501767,156.123089126043,90,59.7796720504761,0.105105717239035,0,807.334800720215,20.9467121089372,1.57368045618266,63.5453021019109,0.938253728535693,25.9455087161495,0.242168514632695,0,2334.32199392318,20.9375628609414,0.178483419015214,560.27613406193,0.93866376116526,8.96944076928849,0.700510262433898,0,3215.7872218132,20.9620504819882,1.62333850402532,61.6014464956229,0.937567127249419,6.51848180122095,0.963903175430008,0,3949.72334537506,20.9209887558391,0.793133168977564,126.082231725236,0.939407459547459,5.29682383459504,1.18621753401394,0
10.8,0.454713947689545,0.895253847703148,111.700162201546,48.9660218804725,42.1031433045875,0.149233164415422,0,807.65026986599,20.8467121089372,1.58073952598675,63.2615294019278,0.942754861399465,25.8115584018763,0.243425259697719,0,2334.41884593963,20.8375628609414,0.180436705021019,554.210962721532,0.943168838653099,8.92623142465851,0.70390123314778,0,3217.08423712254,20.8620504819882,1.62925731656287,61.3776590004599,0.942061658712114,6.484769730695,0.968914173997385,0,3950.4734416008,20.8209887558391,0.798135286264477,125.292042240146,0.943919696043938,5.27050467839674,1.1921411118244,0
16.2,0.554714986939836,1.08383905785862,92.264621093812,38.1946895900534,34.2416658604837,0.183495316284557,0,807.970582008362,20.7467121089372,1.58785980119169,62.977852279496,0.947299391455192,25.6775587761715,0.244695586599546,0,2334.51772298812,20.7375628609414,0.182422967496457,548.176588575351,0.947717370533047,8.88301795987131,0.70732552107444,0,3218.4,20.7620504819882,1.63520897110372,61.1542633187138,0.946599491697872,6.45104725391133,0.973979116858899,0,3951.23605537415,20.7209887558391,0.803205670816228,124.501113019258,0.94847549080839,5.24417890134812,1.19812565997021,0
21.6,0.638021238120708,1.23731315169553,80.8202837438259,32.5203862403795,29.5380202833661,0.212715180194993,0,808.29583799839,20.6467121089372,1.59504203720776,62.6942724187115,0.951887949386178,25.5435091192172,0.245979723375303,0,2334.6186794281,20.6375628609414,0.18444293493577,542.173111888638,0.952309988599758,8.839800282073,0.710783627082821,0,3223.8,20.3661724704102,1.65909343459328,60.2738808525962,0.965001232372011,6.3174429153205,0.994577298346798,0,3952.01147508621,20.6209887558391,0.808345758536859,123.709438620677,0.953075477654951,5.21784637667056,1.20417215333749,0
27,0.710551816085707,1.36788802051368,73.1053993458083,28.863424198059,26.3167339291002,0.238752473012308,0,808.626140832901,20.5467121089372,1.6022869805737,62.410792331468,0.956521178156589,25.409408713616,0.247277903157686,0,2334.72177019119,20.5375628609414,0.186497341597591,536.200672585305,0.956947336955873,8.79657830031694,0.714276061972097,0,3229.2,19.9920566353899,1.68213986330284,59.4480888192331,0.983061272597143,6.19102459909262,1.01488618024559,0,3952.8,20.5209887558391,0.813557056810454,122.917008909061,0.957720302755063,5.19150697122017,1.21028158914382,0
32.4,0.775356816519549,1.48192267080869,67.4799042958358,26.255639867762,23.9307659419614,0.262556799160462,0,808.961597800255,20.4467121089372,1.60959544975674,62.1274122110083,0.961199733311854,25.2752567792295,0.248590364958941,0,2334.82705249786,20.4375628609414,0.188586947771993,530.259390596336,0.961630072313214,8.75335191918251,0.717803347242365,0,3234.6,19.6377725202169,1.70438918631231,58.6720455651118,1.00079842195772,6.07115950046895,1.03492344529809,0,3958.2,19.8785191817484,0.848842811446947,117.807441674082,0.988676646685254,5.02211085385994,1.25110446384321,0
37.8,0.834256759723786,1.58325142513769,63.161162157996,24.2767448976831,22.0702846487774,0.284689817425062,0,809.302318334579,20.3467121089372,1.61696824707211,61.844133415157,0.965924283287919,25.1410525436373,0.249917353152731,0,2334.93458642959,20.3375628609414,0.190712545866748,524.349352820608,0.966358864302875,8.71012103685528,0.721366015534508,0,3240,19.3016206860528,1.72587881126555,57.9414958612721,1.0182298775064,5.95729033520148,1.05470523570967,0,3963.6,19.3012743171922,0.883483659048033,113.188284781352,1.01824815196078,4.86963223261484,1.29027922583092,0
43.2,0.888443503238844,1.67440910082995,59.7225612011026,22.7100865392966,20.5658218342325,0.305515887370035,0,809.64841401577,20.2467121089372,1.62440615642443,61.5609585105954,0.970695509729678,25.0067952440191,0.251259117606537,0,2335.04443264007,20.2375628609414,0.192874933950073,518.470689539603,0.971134395794495,8.6668855538908,0.724964610194823,0,3245.4,18.9820983294638,1.74664302907149,57.2526831960392,1.03537141420859,5.84892411704682,1.07424633683776,0,3969,18.7791613893796,0.917548412155718,108.986074930975,1.04656138954147,4.73145915580236,1.3279593250793,0
48.6,0.938748909756674,1.75718132221216,56.9093233213449,21.4309653939228,19.3158211884089,0.325286988624124,0,810,20.1467121089372,1.6319099951844,61.2778892801011,0.975514107818884,24.8724840851076,0.252615914264134,0,2335.1566540718,20.1375628609414,0.195074935530224,512.623519409065,0.97595736322506,8.62364536692969,0.728599686076447,0,3250.8,18.6778709590928,1.76671336010498,56.6022775726661,1.0522375472202,5.74562291100429,1.09356033357945,0,3974.4,18.3041359726131,0.951093969186341,105.14208189707,1.07372468912333,4.60550925236843,1.36427590585089,0
