A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
0.001,0.0108806307411194,0.285902935307411,349.769056734157,90,10880.6307411194,0.000577465172440286,0,139.197085380554,22.0481746086187,1.5675699139416,63.7930079613186,0.891377427269023,158.395375509053,0.039667732009136,0,401.946794795989,22.0909218565566,0.0484920399909729,2062.19412544029,0.889652420151804,54.9598159322779,0.114323259650684,0,523.207430171967,22.0671145110779,1.66529193627757,60.049531149193,0.890612308569142,42.1766076674884,0.148973226028867,0,680.559765466055,22.0129684364823,0.690749311738602,144.770321592217,0.892803156170722,32.345386185749,0.194252907388315,0
0.9,0.32517524887085,0.645431041035209,154.935219476909,90,361.305832078722,0.017390212804012,0,139.245755354563,21.9481746086187,1.57427564594175,63.5212773936921,0.895439039942046,157.621857504609,0.0398623985699182,0,401.950880495706,21.9909218565566,0.0500332757513521,1998.66985517728,0.893698291532318,54.7104706660582,0.114844292704607,0,523.402275530497,21.9671145110779,1.67100844294603,59.8441021780222,0.894666935477489,41.969849077964,0.149707121784208,0,680.660686302185,21.9129684364823,0.694654669382127,143.956420949343,0.896877802295174,32.1936742895033,0.195168319424422,0
1.8,0.458123002221617,0.902565473735305,110.795286225769,48.4785171656229,254.512779012009,0.0246871113174365,0,139.295132954915,21.8481746086187,1.58103708714906,63.2496231826672,0.89953783751605,156.848083239851,0.0400590506265314,0,401.955133088429,21.8909218565566,0.0516031859202161,1937.8648472327,0.897781131350403,54.4611078563853,0.115370133926552,0,523.599782594045,21.8671145110779,1.67675736757419,59.6389208920984,0.89875865117104,41.7630320676275,0.150448494664016,0,680.763160673777,21.8129684364823,0.698607459122027,143.141901355698,0.900989812868409,32.0419342534534,0.196092572236097,0
2.7,0.558967665721769,1.09321999197326,91.4728972523634,37.852528106549,207.025061378433,0.0303498777652537,0,139.345232486725,21.7481746086187,1.58785498657585,62.9780432378441,0.903674333013773,156.07404875291,0.0402577197002615,0,401.959559249877,21.7909218565566,0.0532024777535113,1879.61170649426,0.901901448641487,54.2117269140758,0.115900851436411,0,523.8,21.7671145110779,1.68253888138871,59.4339905639882,0.902887966901087,41.5561559967123,0.151197461759376,0,680.867220052083,21.7129684364823,0.702608457393665,142.326780937069,0.905139704226429,31.8901656549442,0.19702579708003,0
3.6,0.643019637305213,1.24861215205611,80.0889209954658,32.2368720187681,178.616565918115,0.035176946073748,0,139.396066347758,21.6481746086187,1.59472955743002,62.7065570673656,0.9078490489392,155.299752538296,0.0404584373412328,0,401.964164702097,21.6909218565566,0.0548317858380095,1823.75967646634,0.906059761830006,53.9623273946128,0.116436514334014,0,524.7,21.3338612265349,1.70796796499055,58.5491075065645,0.921225601593858,40.6591599514674,0.154533082205325,0,680.972898769379,21.6129684364823,0.706658634419701,141.511042431568,0.909328002263262,31.7383679666845,0.197968128473871,0
4.5,0.71623663436493,1.38101611087619,72.4104514150486,28.6130622849369,159.16369652554,0.0394762464326868,0,139.447650750478,21.5481746086187,1.60166186186911,62.4351508771658,0.912062517497615,154.525189149124,0.0406612367975554,0,401.96895421346,21.5909218565566,0.0564916755995807,1770.1723119139,0.910256598946887,53.7129089951835,0.116977192721828,0,525.6,20.9253389178643,1.73252041352396,57.7193776300732,0.939212148934653,39.812288656515,0.157820248953495,0,681.080230204264,21.5129684364823,0.71075882231148,140.694701016566,0.913555242653168,31.5865407369559,0.198919703157881,0
5.4,0.781687980930902,1.49681915369349,66.8083380368589,26.026959219295,144.757033505723,0.0434050432991997,0,139.5,21.4481746086187,1.60865242094394,62.1638327198867,0.91631528082182,153.750355617338,0.0408661513786512,0,401.973934459686,21.4909218565566,0.0581828563886244,1718.71933086378,0.914492497853106,53.4634711711935,0.117522958564745,0,526.5,20.5392857886702,1.75624461702703,56.9396763016305,0.95686705644249,39.0109891522701,0.161061932642996,0,681.189252503713,21.4129684364823,0.714910205444329,139.877706652472,0.917821971079067,31.4346833244636,0.199880661825843,0
6.3,0.841205283169218,1.59987025151797,62.5050687111153,24.0634629981739,133.524648122098,0.0470563704570417,0,140.4,19.9309643260154,1.72239052959848,58.0588422204758,0.98607484502581,141.95843537048,0.0442607393550222,0,401.979111162821,21.3909218565566,0.0599059682924852,1669.2827584684,0.918768006469517,53.2140135209471,0.118073884893239,0,527.4,20.1737192896399,1.77918467225444,56.2055201798069,0.974208031020167,38.2512690361015,0.164260832790921,0,681.3,21.3129684364823,0.719113580984299,139.060090984686,0.922128743467399,31.2827952979338,0.200851146687476,0
7.2,0.895987394967414,1.69271252745798,59.0767766988612,22.5083385665149,124.442693745474,0.0504905922402383,0,141.3,18.7113559092672,1.82558094411819,54.7770836029968,1.05035430192815,132.422900985613,0.0474478754083647,0,401.98449195226,21.2909218565566,0.0616617916476038,1621.74982802152,0.923083683013162,52.964535405722,0.118630046672717,0,528.3,19.8268932796877,1.80138088997203,55.5129681660787,0.991251251259461,37.5296105994467,0.167419411148172,0,682.2,20.5547204089551,0.752790195414509,132.839137131611,0.95614847448003,30.1300504382221,0.20853550577562,0
8.1,0.946870881550804,1.77713656919009,56.2702955606691,21.238182503507,116.89763969763,0.0537494625505853,0,142.2,17.7040664900826,1.92007193602703,52.0813820168206,1.11012247003638,124.501170816333,0.0504668772669509,0,401.990081596374,21.1909218565566,0.0634509014375995,1576.0217386091,0.927440096240273,52.7150365810115,0.119191519435327,0,529.2,19.4972629595173,1.82287022705841,54.8585404027204,1.00801154746632,36.8429005281885,0.170539919960219,0,683.1,19.8809455130901,0.785683021323235,127.277791788833,0.988555973590974,29.1040045572978,0.215887311823695,0
9,0.994467667749048,1.85446322135435,53.9239596927503,20.1761887880282,110.496407527672,0.0568632541796082,0,143.1,16.8544744189687,2.00722495834082,49.820026193108,1.16608852037063,117.781093074554,0.0533462981465318,0,401.995887724558,21.0909218565566,0.0652740815669948,1532.00163984481,0.931837825696187,52.4655164408245,0.119758380998048,0,530.1,19.1834559524867,1.84368665783587,54.2391515255529,1.02450255579543,36.1883719156512,0.173624426150604,0,684,19.2773227186058,0.817883350298923,122.266824435846,1.0195134336638,28.1832203488389,0.222940644447625,0
9.9,1.03924185530887,1.92570223085014,51.9291084561152,19.2717066842084,104.973924778674,0.0598547241176987,0,144,16.1257681145214,2.08807919057582,47.890903971139,1.21879059743359,111.984500795287,0.0561076333113771,0,402.001917966206,20.9909218565566,0.0671321159740082,1489.60000067207,0.936277461972408,52.2159743982147,0.120330710660729,0,531,18.8842483129277,1.86386149340803,53.6520553451386,1.04073685016865,35.5635561448732,0.176674831998919,0,684.9,18.7327025676143,0.84946629798247,117.720974025109,1.04915724762656,27.351003894896,0.229724120230633,0
10.8,1.08155569038833,1.9916474553938,50.2096893349166,18.4897967181319,100.144045406327,0.0627414768565224,0,144.9,15.4921178295719,2.16345044156946,46.2224593078526,1.26864890418781,106.915927050186,0.0587675333370144,0,402.008179950714,20.8909218565566,0.0690257893113915,1448.7338862418,0.940759606971057,51.9664098852861,0.120908589241579,0,531.9,18.5985444934271,1.88342365825343,53.094798699053,1.05672605604991,34.9662427024386,0.179692892961055,0,685.8,18.2382586082958,0.880494321896357,113.572566583537,1.07760348481783,26.594136203406,0.236262056384252,0
